"isPrimaryTopicOf","abbreviation","alternativeName","commonName","familyName","givenName","nick","surname","formerName","longName","dboName","originalName","label","foafName","alias"
"http://pt.wikipedia.org/wiki/Fundo_Monetário_Internacional","","","","","","","","","","","","Fundo Monetário Internacional","(FMI);;Fundo Monetário Internacional",""
"http://pt.wikipedia.org/wiki/ClubJenna","","","","","","","","","","","","ClubJenna","ClubJenna",""
"http://pt.wikipedia.org/wiki/El_Parque","","","","","","","","","","","","El Parque","El Parque",""
"http://pt.wikipedia.org/wiki/Gendarmeria_Nacional_do_Benim","","","","","","","","","","","","Gendarmeria Nacional do Benim","Gendarmeria Nacional do Benim;;Gendarmerie Nationale Béninoise",""
"http://pt.wikipedia.org/wiki/Nickelodeon_Movies","","","","","","","","","","","","Nickelodeon Movies","Nickelodeon Movies",""
"http://pt.wikipedia.org/wiki/Universidade_11_de_Novembro","","","","","","","","","","","","Universidade 11 de Novembro","Universidade 11 de Novembro",""
"http://pt.wikipedia.org/wiki/Sendero_Luminoso","","","","","","","","","","","","Sendero Luminoso","Partido Comunista del Perú – Sendero Luminoso;;Partido Comunista do Peru",""
"http://pt.wikipedia.org/wiki/Heaven_17","","","","","","","","","","","","Heaven 17","Heaven 17",""
"http://pt.wikipedia.org/wiki/Major_Lazer","","","","","","","","","","","","Major Lazer","Major Lazer",""
"http://pt.wikipedia.org/wiki/Club_Social_y_Deportivo_San_Antonio_Unido","","","","","","Lilas;;SAU","","","","","","Club Social y Deportivo San Antonio Unido","Club Social y Deportivo San Antonio Unido;;San Antonio Unido",""
"http://pt.wikipedia.org/wiki/Portela_do_Sul","","","","","","","","","","","","Portela do Sul","Portela do Sul",""
"http://pt.wikipedia.org/wiki/Hapoel_Kfar_Saba_Football_Club","","","","","","Verdes","","","","","","Hapoel Kfar Saba Football Club","Hapoel Kfar Saba",""
"http://pt.wikipedia.org/wiki/BMG","","","","","","","","","","","","BMG","BMG;;Bertelsmann Music Group",""
"http://pt.wikipedia.org/wiki/The_Panic_Channel","","","","","","","","","","","","The Panic Channel","The Panic Channel",""
"http://pt.wikipedia.org/wiki/Gangrena_Gasosa_(banda)","","","","","","","","","","","","Gangrena Gasosa (banda)","Gangrena Gasosa",""
"http://pt.wikipedia.org/wiki/BTG_Pactual","","","","","","","","","","","","BTG Pactual","Banco BTG Pactual",""
"http://pt.wikipedia.org/wiki/Ango_Football_Club","","","","","","","","","","","","Ango Football Club","Ango Football Club",""
"http://pt.wikipedia.org/wiki/Sistema_Econômico_Latino-Americano_e_do_Caribe","","","","","","","","","","","","Sistema Econômico Latino-Americano e do Caribe","Latin American and Caribbean Economic System;;Sistema Económico Latinoamericano y del Caribe;;Sistema Econômico Latino-Americano e do Caribe;;Système Economique Latinoaméricain et Caribéen",""
"http://pt.wikipedia.org/wiki/182.ª_Divisão_de_Infantaria_(Alemanha)","","","","","","182. ID","","","","","","182.ª Divisão de Infantaria (Alemanha)","182. Infanterie-Division",""
"http://pt.wikipedia.org/wiki/GRC_Muzenza","","","","","","","","","","","","GRC Muzenza","Muzenza",""
"http://pt.wikipedia.org/wiki/Jeunesse_Sportive_Capoise","","","","","","","","","","","","Jeunesse Sportive Capoise","Jeunesse Sportive Capoise",""
"http://pt.wikipedia.org/wiki/Daara_J","","","","","","","","","","","","Daara J","daara J",""
"http://pt.wikipedia.org/wiki/Red_Lion_(clube_de_futebol)","","","","","","","","","","","","Red Lion (clube de futebol)","Red Lion (clube de futebol)",""
