"historicalName","isPrimaryTopicOf","abbreviation","alternativeName","commonName","familyName","givenName","nick","surname","formerName","longName","dboName","originalName","label","foafName","alias"
"","http://pt.wikipedia.org/wiki/NGC_410","","","","","","","","","","","","NGC 410","410, PGC 4224, UGC 735, MCG 5-3-80, ZWG 501.118;;NGC 410",""
"","http://pt.wikipedia.org/wiki/Chingo","","","","","","","","","","","","Chingo","Chingo",""
"","http://pt.wikipedia.org/wiki/Baronia_de_Estamira","","","","","","","","","","","","Baronia de Estamira","Baronia de Estamira",""
"","http://pt.wikipedia.org/wiki/Egebjerg","","","","","","","","","","","","Egebjerg","Egebjerg",""
"","http://pt.wikipedia.org/wiki/Castetpugon","","","","","","","","","","","","Castetpugon","Castetpugon",""
"","http://pt.wikipedia.org/wiki/Puako","","","","","","","","","","","","Puako","Puako",""
"","http://pt.wikipedia.org/wiki/NGC_6241","","","","","","","","","","","","NGC 6241","6241, MCG 8-31-7, ZWG 252.5, IRAS16486+4530, PGC 59085;;NGC 6241",""
"","http://pt.wikipedia.org/wiki/Visoka_(Arilje)","","","","","","","","","","","","Visoka (Arilje)","Visoka",""
"","http://pt.wikipedia.org/wiki/Torre_do_Tambo","","","","","","","","","","","","Torre do Tambo","Torre do Tambo",""
"","http://pt.wikipedia.org/wiki/Harrells","","","","","","","","","","","","Harrells","Harrells",""
"","http://pt.wikipedia.org/wiki/Fornelos_(Barcelos)","","","","","","","","","","","","Fornelos (Barcelos)","Fornelos",""
"","http://pt.wikipedia.org/wiki/Quéven","","","","","","","","","","","","Quéven","Quéven",""
"","http://pt.wikipedia.org/wiki/Comuna_de_Klembów","","","","","","","","","","","","Comuna de Klembów","Klembów",""
"","http://pt.wikipedia.org/wiki/Wethersfield","","","","","","","","","","","","Wethersfield","Wethersfield",""
"","http://pt.wikipedia.org/wiki/Cidade_de_Lancaster","","","","","","","","","","","","Cidade de Lancaster","Cidade de Lancaster;;Lancaster's City",""
"","http://pt.wikipedia.org/wiki/Paraíso_das_Águas","","","","","","","","","","","","Paraíso das Águas","Paraíso das Águas",""
