"birthName","pseudonym","isPrimaryTopicOf","abbreviation","alternativeName","commonName","familyName","givenName","nick","surname","formerName","longName","dboName","originalName","label","foafName","alias"
"","","http://pt.wikipedia.org/wiki/Tito_Vetúrio_Gêmino_Cicurino_(cônsul_em_462_a.C.)","","","","","","","","","","","","Tito Vetúrio Gêmino Cicurino (cônsul em 462 a.C.)","Tito Vetúrio Gêmino Cicurino",""
"","","http://pt.wikipedia.org/wiki/Robert_Cartwright","","","","","","","","","","","","Robert Cartwright","Robert Cartwright","Bob Cartwright"
"","","http://pt.wikipedia.org/wiki/Sung_Kyung-hwa","","","","","","","","","","","","Sung Kyung-hwa","Sung Kyung-Hwa",""
"","","http://pt.wikipedia.org/wiki/Vinitário","","","","","","","","","","","","Vinitário","Vinitário",""
"","","http://pt.wikipedia.org/wiki/Daniel_Drinkwater","","","","","","","","","","","","Daniel Drinkwater","Daniel Drinkwater;;Daniel Noel Drinkwater",""
"","","http://pt.wikipedia.org/wiki/Manuel_Calderón","","","","","","El Chino","","","","","","Manuel Calderón","Manuel Arturo Calderón Maraví;;Manuel Calderón",""
"","","http://pt.wikipedia.org/wiki/Luís_Carlos_Quintanilha","","","","","","Luisinho","","","","","","Luís Carlos Quintanilha","Luisinho Quintanilha;;Luís Carlos Quintanilha",""
"","","http://pt.wikipedia.org/wiki/Ricardo_Carriço","","","","","","","","","","","","Ricardo Carriço","Ricardo Carriço",""
"","","http://pt.wikipedia.org/wiki/Arlindo_de_Andrade_Gomes","","","","","","","","","","","","Arlindo de Andrade Gomes","Arlindo de Andrade Gomes",""
"","","http://pt.wikipedia.org/wiki/Manuel_II_de_Portugal","","","","","","","","","","","","Manuel II de Portugal","Manuel II;;Manuel Maria Filipe Carlos Amélio Luís Miguel Rafael Gabriel Gonzaga Xavier Francisco de Assis Eugénio de Orleães Sabóia e Saxe-Coburgo-Gotha",""
"","","http://pt.wikipedia.org/wiki/Dieter_Eilts","","","","","","","","","","","","Dieter Eilts","Dieter Eilts",""
